file_name,text,caption
甘雨 Full_001.wav,してまでしないといけない,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_002.wav,ことは好きでしてるので嫌ではないですが,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_003.wav,そんなのは初めてで,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_005.wav,チンポ突っ込んでもらうの気持ちいいです,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_007.wav,進歩当たると、凄く良くて、も、も、下品な声、出てしまいます。,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_008.wav,こんな気持ちいい仕事があったんですね,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_009.wav,なんで知らなかったんでしょうか,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_010.wav,ううううううううう,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_011.wav,わっ,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_012.wav,チンポは嬉しそうに震えてます,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_015.wav,思いっきり中に射線して気持ちよく終わらせてください,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_016.wav,すごいです,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_017.wav,激しく…,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_019.wav,ん,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_020.wav,ずっと出たのですね,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_021.wav,中に出される感覚だけで,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_022.wav,しまってます,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_023.wav,こんな気持ちいいことなら、一回だけじゃなく、いくらでもしたいです。,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_024.wav,してくださいお願いします,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_025.wav,もう晴れただけで,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_026.wav,ご視聴ありがとうございました,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_027.wav,チンポすごいです,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_028.wav,お、お、お、お、チンポリス、チンポリスかわねえ生ハメじゃ,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_029.wav,うううううううううううううう,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_030.wav,お、お、早く、早く、騒いで来て,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_033.wav,おー,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_034.wav,兵器、注ぎ込まれてます,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
甘雨 Full_035.wav,こんな素敵な仕事なら、私、いくらでも残業します。,優しく穏やかな大人の女性が、温かみのある柔らかい声で話している。
