file_name,text,caption
RJ318876_tr00_タイトルコール_001.wav,爆乳サキュバスの甘く深い耳なめエステCV 青山ゆかり,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_001.wav,当マッサージ店をご利用いただき、ありがとうございます。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_002.wav,さあ、横になってください。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_003.wav,本日お客様の担当をさせていただきます,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_004.wav,アユハラルカと申します,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_005.wav,では、最初はお背中からマッサージさせていただきますね。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_006.wav,このくらいの力加減で大丈夫ですか?,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_007.wav,大丈夫なようですね,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_008.wav,お客様、だいぶ凝っていらっしゃいますね。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_009.wav,いっぱいお仕事頑張ってらっしゃるんですね。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_010.wav,とても素敵だと思いますよ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_011.wav,普段あまりこういうお店にはいらっしゃらないんですか?,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_012.wav,ふ、うん,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_014.wav,だいぶほぐれてきましたけれどもう少し力を入れるために,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_015.wav,お近くへ寄らせていただきます,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_017.wav,…申し訳ございません。私、胸が大きいので当たってしまって…,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_018.wav,感で、感じやすいんです。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_019.wav,わっ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_020.wav,こっているので仮揉まないといけませんからまた,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_021.wav,身体が当たってしまうかもしれませんが、ご容赦くださいませ……,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_022.wav,はっ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_025.wav,ん,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_026.wav,お,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_027.wav,お背中の方はそろそろ大丈夫そうですね次は仰向けになって,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_028.wav,ていただけますか,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_029.wav,まあ…,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_030.wav,お客様の股間が大きくなってしまっていますね。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_031.wav,生理的な反応ですから気になさらないでください,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_032.wav,でも、もし…,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_033.wav,このままもっと気持ちよくなりたいのでしたら,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_034.wav,実はメニューにはない,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_035.wav,裏オプションがあるんです。 とっても気持ちよくして差し上げますよ。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_036.wav,ああ、申し訳ございません。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_037.wav,どんな内容かわからないと決められませんよね,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_038.wav,お客様、少しお耳に失礼いたします。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_045.wav,はぁ…,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_046.wav,こうしてお耳をなめながら、お客様の全身をマッサージさせていただきます。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_047.wav,ちゃんと,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_048.wav,うんうん,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_049.wav,もちろんガチガチに勝つ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_050.wav,硬くなってしまった股間もです。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_051.wav,いかがなさいますか?ほら、こっちも…,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_052.wav,ん,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_057.wav,お耳、かわいい,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_059.wav,ご視聴ありがとうございました,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_060.wav,おつ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_061.wav,続けてほしそうですね。一つだけ約束がございます。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_062.wav,施術中はぜ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_063.wav,目を開けないでください,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_064.wav,裏オプションにしているのは、それなりに理由がございますので。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_065.wav,では。,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr01_美人エステティシャンの秘密のプラン♪_066.wav,裏オプションを始めさせていただきますね,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_001.wav,あんなにたっぷり仲出しされたのに,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_002.wav,まだ体がお兄さんの子種を求めてしまいます,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_003.wav,はしたなくてごめんなさい,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_004.wav,でもこれがサキュバスなんですよ,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_005.wav,それに今度はお兄さんに,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_006.wav,私のことを抱いてほしいんです,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_008.wav,これが正常位,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_009.wav,私初めてです,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
RJ318876_tr05_メロメロサキュバスと正常キスハメ♪_010.wav,サキュバスにとって正常意は相手の男性にメロメロになって,クールで大人っぽい女性が、ツンデレな口調で少し素っ気なく話している。
