file_name,text,caption
逢川ポッド屋奈々不思議 第00回_003.wav,9年正月が始まりまして皆さんいかがお過ごしでしょうか相川奈々ですはいえっと今月8日からなんと,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_004.wav,新しいウェブラジオが始まりますタイトルは相川ぽっとや七尾不思議というわけでウェブラジオがスタートしますのでぜひね,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_005.wav,こちらの方よろしくお付き合いくださいはい放送はですね各週金曜日に更新予定となっておりますのでまあ1週間おきにね,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_006.wav,更新されますのでぜひこちらの方スタジオポットさんの方のホームページをチェックして聞いていただければ嬉しいのでよろしくお願いします,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_007.wav,新しい番組が始まりますのでコーナーの方もね色々お便りを募集しようと思っておりますぜひこちらの方もお便りを送ってみてください,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_008.wav,七不思議なんでも盛り上げちゃうコーナーはいこのなんでも盛り上げちゃうコーナーはいわゆる皆様のよもやま話を募集しております,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_009.wav,こんなことがあったよこんなこと考えてるよこんなもの食べたよとかねそんなちょっとしたおしゃべりか何かをこちらに送っていただければと思いますのでぜひね,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_010.wav,あの皆様の何気ないこう日常を綴ったものを私にねあの送ってくださいポエムでもいいよポエムでもね頑張って元気よく読むんでねはいそんな感じで,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_012.wav,そしてもう一つです。はい、これはですね、ワンタン!ワンタン!ワンダーランド!,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_013.wav,はい、これだけではさっぱりわかりません。,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_014.wav,ワンタンは実はね略語なんですけれどもワンテーマ3単語の略なんですワンテーマ3単語はてどういうことか皆様に募集するのは,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_015.wav,3つの単語と1つのテーマですはい皆様が送ってくださった3つの単語と1つのテーマを使って私が,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_016.wav,今日で文章を考えるというコーナーでございます皆さんが送っていただくのは3つの単語と1つのテーマだけ例えばねえっとじゃあ今回テーマは,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_017.wav,火あぶりそして単語は乙女武器神はい実は私がもう一つやっている空想海軍広報というねサイトのところから引っ張ってきたんですけれども,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_018.wav,これで文章を作れというコーナーですはいじゃあ早速作ってみましょう乙女武器紙テーマは火あぶりいきます,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_019.wav,武器を集めるのが趣味だったが,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_020.wav,髪を振り乱し、,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_021.wav,魔女のコスプレを始めて,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_022.wav,ひやぶりだーとさけび、みんなにおどろかれた。,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_023.wav,こんな文章をこんな寒い文章を毎回考えるわけですよ私がなんてコーナーなんだろうというわけではいこんな感じで皆様は,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_024.wav,単語だけを送っていただければいいのでぜひじゃんじゃんこんな組み合わせないだろうと言えば言うほど多分無理無理な文章が出てきますのでぜひこちらの方送ってみてください,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_025.wav,そしてもう一つのコーナーです。これは魂のうなり。,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
逢川ポッド屋奈々不思議 第00回_026.wav,もしかしてどっかで聞いたことがあるかもしれないコーナーはいこれはもしアイテムが言葉を喋ったら何というかというコーナーになりますはいどっかで聞いたことがあるかもしれないコーナー,落ち着いた大人の女性が、穏やかでしっとりとした声で話している。
